state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,count:__crimes_against_society,count:__fraud_and_other_financial_crimes,count:__property_crime,count:__violent_crime,rate:__crimes_against_society,rate:__fraud_and_other_financial_crimes,rate:__property_crime,rate:__violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty,total_crime_count,total_crime_rate,log_total_crime_rate
CO,2019,5611800,0.678,0.038,0.218,0.032,0.005,0.001,0.028,72500,0.09300000000000001,0.027000000000000003,0.01,0.687,0.924,0.42700000000000005,389875.7836,25.0,12.9,8643.0,2686.0,17194.0,12437.0,149.7,46.52,297.8,215.4,58000.0,1305.0,135000.0,40960.0,709.42,6.565856344434821
CO,2018,5555200,0.68,0.038,0.216,0.032,0.01,0.01,0.028,73030,0.091,0.031,0.01,0.6859999999999999,0.919,0.41700000000000004,371962.9629,24.4,10.9,10508.0,2705.0,18883.0,13423.0,182.0,46.85,327.05,232.49,61000.0,1467.0,149000.0,45519.0,788.39,6.67126049529951
CO,2017,5461100,0.683,0.038,0.216,0.031,0.01,0.01,0.026,74170,0.077,0.026000000000000002,0.01,0.677,0.9159999999999999,0.41200000000000003,346114.1716,23.0,12.1,11032.0,2825.0,20245.0,13095.0,191.07,48.93,350.65,226.8,59000.0,1522.0,149000.0,47197.0,817.45,6.7074123075903636
CO,2016,5398100,0.687,0.039,0.213,0.031,0.01,0.01,0.025,70570,0.085,0.031,0.013999999999999999,0.669,0.914,0.39899999999999997,317127.9619,22.5,11.7,11322.0,2927.0,22499.0,12664.0,196.09,50.69,389.68,219.34,70000.0,1594.0,166000.0,49412.0,855.8000000000001,6.753204519133539
CT,2022,3506600,0.62,0.097,0.183,0.047,0.001,0.0,0.052,90730,0.102,0.040999999999999995,0.021,0.652,0.915,0.419,342689.2251,7.5,9.0,1572.0,305.0,3259.0,5423.0,43.56,8.45,90.31,150.27,42000.0,981.0,90000.0,10559.0,292.59000000000003,5.682184236214804
CT,2021,3501500,0.628,0.097,0.178,0.047,0.001,0.0,0.049,80960,0.08,0.064,0.040999999999999995,0.631,0.9109999999999999,0.42100000000000004,307588.2668,11.0,15.0,1817.0,293.0,3329.0,5400.0,50.42,8.13,92.38,149.85,38000.0,981.0,92000.0,10839.0,300.78,5.709698275085505
CT,2020,3477400,0.6425000000000001,0.0985,0.1735,0.0465,0.0015,0.0,0.0375,79430,0.11199999999999999,0.08,0.023,0.645,0.9159999999999999,0.424,267623.1647,6.1,17.3,2057.0,326.0,3582.0,4806.0,57.5,9.12,100.12,134.34,39333.333333333336,981.0,95666.66666666667,10771.0,301.08000000000004,5.710691882957136
CT,2019,3453300,0.657,0.1,0.169,0.046,0.002,0.0,0.026,87290,0.083,0.036000000000000004,0.018000000000000002,0.6629999999999999,0.907,0.39799999999999996,256126.0858,9.4,14.2,3420.0,504.0,4422.0,5601.0,94.84,13.98,122.64,155.33,36000.0,909.0,101000.0,13947.0,386.79,5.960463955988194
CT,2018,3466300,0.663,0.099,0.166,0.047,0.01,0.0,0.024,72810,0.102,0.039,0.022000000000000002,0.6609999999999999,0.909,0.396,252882.7736,8.2,15.3,3637.0,505.0,4599.0,5554.0,100.86,14.0,127.54,154.03,39000.0,931.0,102000.0,14295.0,396.43,5.985018817957919
CT,2017,3478700,0.667,0.097,0.163,0.045,0.01,0.0,0.027,72780,0.109,0.044000000000000004,0.021,0.6629999999999999,0.904,0.387,247159.3384,10.5,18.7,3937.0,521.0,5135.0,5433.0,109.19,14.45,142.4,150.67,43000.0,1025.0,93000.0,15026.0,416.71000000000004,6.034787411843802
CT,2016,3465100,0.676,0.098,0.158,0.045,0.01,0.0,0.022,75920,0.098,0.049,0.026000000000000002,0.659,0.905,0.386,241427.0393,6.9,13.9,4295.0,597.0,5507.0,5703.0,119.11,16.55,152.72,158.16,38000.0,1059.0,96000.0,16102.0,446.53999999999996,6.103765919195127
DE,2022,990700,0.59,0.211,0.103,0.041,0.001,0.0,0.054,80750,0.09300000000000001,0.042,0.023,0.607,0.92,0.365,359641.9998,8.8,18.5,2464.0,582.0,3021.0,3503.0,241.69,57.09,296.34,343.61,9000.0,142.0,26000.0,9570.0,938.7299999999999,6.845592599961898
DE,2021,974100,0.595,0.203,0.102,0.041,0.0,0.0,0.057,68690,0.11699999999999999,0.055,0.032,0.613,0.914,0.35600000000000004,322658.1464,20.7,13.3,2347.0,538.0,3030.0,3467.0,233.56,53.54,301.53,345.01,8000.0,142.0,35000.0,9382.0,933.64,6.8401614284088925
DE,2020,957200,0.6045,0.21050000000000002,0.0995,0.04,0.0,0.0,0.0425,70020,0.105,0.075,0.021,0.614,0.91,0.34700000000000003,281167.5744,10.2,18.6,2800.0,537.0,3570.0,3474.0,282.3,54.14,359.93,350.25,11333.333333333334,142.0,33666.666666666664,10381.0,1046.62,6.954276203707526
DE,2019,940300,0.614,0.218,0.097,0.039,0.003,0.0,0.028,74190,0.065,0.036000000000000004,0.013999999999999999,0.621,0.903,0.332,271369.2211,0.0,19.6,4500.0,759.0,3980.0,4093.0,454.57,76.67,402.04,413.46,11000.0,133.0,32000.0,13332.0,1346.74,7.206184394530554
DE,2018,937700,0.621,0.213,0.095,0.042,0.01,0.0,0.025,65010,0.07400000000000001,0.037000000000000005,0.015,0.621,0.898,0.313,263962.1268,17.7,13.5,4262.0,865.0,4144.0,4084.0,430.52,87.38,418.61,412.55,12000.0,155.0,37000.0,13355.0,1349.06,7.207904314889294
DE,2017,931700,0.626,0.212,0.092,0.04,0.0,0.0,0.027,62320,0.092,0.045,0.02,0.622,0.9059999999999999,0.315,257027.958,11.6,25.0,4421.0,1131.0,4525.0,4479.0,446.59,114.25,457.1,452.45,13000.0,153.0,37000.0,14556.0,1470.3899999999999,7.293962811226598
DE,2016,924300,0.63,0.207,0.092,0.04,0.01,0.0,0.027,58050,0.11599999999999999,0.045,0.022000000000000002,0.622,0.893,0.31,246807.4383,9.9,18.2,4430.0,1246.0,5596.0,4755.0,447.5,125.86,565.28,480.33,15000.0,127.0,35000.0,16027.0,1618.9699999999998,7.390162909536441
DC,2022,638600,0.363,0.422,0.119,0.039,0.0,0.0,0.055,101700,0.134,0.048,0.031,0.7090000000000001,0.937,0.654,641893.9153,0.0,15.4,1354.0,111.0,2352.0,4274.0,201.8,16.55,350.55,637.01,5000.0,131.25,21000.0,8091.0,1205.91,7.095818653280139
DC,2021,633400,0.359,0.431,0.115,0.038,0.0,0.0,0.055,90640,0.14,0.069,0.04,0.6920000000000001,0.9279999999999999,0.63,629874.4722,0.0,16.0,482.0,56.0,964.0,1964.0,72.05,8.37,144.09,293.56,11000.0,131.25,29000.0,3466.0,518.0699999999999,6.252038748830258
DC,2020,652350,0.363,0.4405,0.1135,0.0375,0.0,0.0,0.043,88220,0.168,0.079,0.031,0.6970000000000001,0.938,0.636,595207.3612,0.0,12.6,125.0,3.0,181.0,428.0,18.64,0.45,26.99,63.8,10166.666666666666,131.25,27666.666666666668,737.0,109.88,4.708448535441593
DC,2019,671300,0.367,0.45,0.112,0.037,0.003,0.0,0.031,93110,0.125,0.055,0.032,0.7120000000000001,0.919,0.597,570990.8234,0.0,14.666666666666666,322.0,3.0,397.0,968.0,46.7,0.44,57.57,140.39,12000.0,109.0,24000.0,1690.0,245.1,5.50573795739701
