year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,crimes_against_society,fraud_and_other_financial_crimes,property_crime,violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty,total_crime_count,log_total_crime_count,youth_school_poverty_interaction,poverty_income_interaction,unemployment_youth_interaction,poverty_rate_squared,median_income_squared,poverty_to_income_ratio,youth_to_total_pop_ratio,state_AL,state_AR,state_AZ,state_CA,state_CO,state_CT,state_DC,state_DE,state_FL,state_GA,state_HI,state_IA,state_ID,state_IL,state_IN,state_KS,state_KY,state_LA,state_MA,state_MD,state_ME,state_MI,state_MN,state_MO,state_MS,state_MT,state_NC,state_ND,state_NE,state_NH,state_NJ,state_NM,state_NV,state_NY,state_OH,state_OK,state_OR,state_PA,state_RI,state_SC,state_SD,state_TN,state_TX,state_UT,state_VA,state_VT,state_WA,state_WI,state_WV,state_WY
2018,2921300,0.722,0.15,0.077,0.015,0.01,0.01,0.027,49780,0.159,0.037,0.012,0.579,0.872,0.233,140198.8967,16.3,9.8,4364.5,774.5,6633.0,6266.0,54000.0,470.0,171000.0,18038.0,9.800291359707678,8586.0,7915.02,1998.0,0.025281,2478048400,3.193989674775517e-06,0.01848491476913882,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,2910000,0.725,0.149,0.076,0.017,0.01,0.01,0.027,48830,0.148,0.037,0.013,0.583,0.867,0.2339999999999999,135134.5919,22.4,9.7,4344.0,738.5,6675.0,6077.0,54000.0,442.0,156000.0,17834.5,9.788946132163131,7992.0,7226.839999999999,1998.0,0.021903999999999996,2384368900,3.0308615428723555e-06,0.01855669465405682,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,2895400,0.73,0.153,0.073,0.014,0.01,0.01,0.022,45910,0.16,0.04,0.017,0.581,0.86,0.2239999999999999,130786.0634,15.4,7.5,4194.0,766.5,7489.5,6591.0,57000.0,465.0,165000.0,19041.0,9.854402344845637,9120.0,7345.6,2280.0,0.0256,2107728100,3.4850035939099564e-06,0.01968639231664284,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,38187000,0.337,0.051,0.404,0.153,0.002,0.003,0.049,85300,0.1119999999999999,0.043,0.024,0.618,0.847,0.37,738501.98,8.8,14.9,7533.5,1477.5,9840.0,15624.0,522000.0,9572.5,1278000.0,34475.0,10.44801870876729,58463.99999999995,9553.599999999991,22446.0,0.012543999999999979,7276090000,1.3129975029601049e-06,0.013669573057072485,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,38379200,0.342,0.051,0.403,0.151,0.002,0.003,0.047,81580,0.119,0.073,0.049,0.611,0.8440000000000001,0.362,650386.5632,9.9,18.9,4167.5,711.5,5009.0,8124.0,570000.0,9572.5,1363000.0,18012.0,9.798848998423558,67830.0,9708.02,41610.0,0.014160999999999998,6655296400,1.458672975325137e-06,0.01485179433516607,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,5695100,0.65,0.036,0.226,0.031,0.004,0.001,0.052,89930,0.081,0.031,0.013,0.682,0.93,0.4589999999999999,546611.9753,19.2,20.4,3358.0,938.5,7760.5,6710.0,60000.0,1472.0,133000.0,18767.0,9.839908570893256,4860.0,7284.33,1860.0,0.006561,8087404900,9.006905294058778e-07,0.010535370663312204,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,5664200,0.653,0.036,0.222,0.031,0.003,0.002,0.053,84950,0.079,0.055,0.0289999999999999,0.6809999999999999,0.924,0.444,475613.7751,24.6,25.3,3029.0,978.5,7654.0,6729.5,73000.0,1472.0,145000.0,18391.0,9.819671066443018,5767.0,6711.05,4015.0,0.006241,7216502500,9.299478522913209e-07,0.012887960720320482,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,5638000,0.6655,0.037,0.22,0.0315,0.004,0.0015,0.0405,83780,0.095,0.068,0.0139999999999999,0.6729999999999999,0.927,0.442,411694.4001,26.4,22.6,3065.5,1069.0,8042.5,6046.0,63500.0,1472.0,146166.66666666666,18223.0,9.810494685686963,6032.5,7959.1,4318.0,0.009025,7019088400,1.133908642771034e-06,0.011262857172249527,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,5611800,0.678,0.038,0.218,0.032,0.005,0.001,0.028,72500,0.093,0.027,0.01,0.687,0.924,0.427,389875.7836,25.0,12.9,4321.5,1343.0,8597.0,6218.5,58000.0,1305.0,135000.0,20480.0,9.92725290608639,5394.0,6742.5,1566.0,0.008649,5256250000,1.2827409277113418e-06,0.010335362925378145,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,5555200,0.68,0.038,0.216,0.032,0.01,0.01,0.028,73030,0.091,0.031,0.01,0.6859999999999999,0.919,0.417,371962.9629,24.4,10.9,5254.0,1352.5,9441.5,6711.5,61000.0,1467.0,149000.0,22759.5,10.03278185636452,5551.0,6645.73,1891.0,0.008281,5333380900,1.2460461995590913e-06,0.010980700788324312,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
