State,Offender Age,Data Year,Count:  Crimes Against Society,Count:  Fraud and Other Financial Crimes,Count:  Property Crime,Count:  Violent Crime,Rate:  Crimes Against Society,Rate:  Fraud and Other Financial Crimes,Rate:  Property Crime,Rate:  Violent Crime
MA,15-24,2022,2796,1188,8210,12944,40.04,17.02,117.57,185.37
MD,15-24,2018,2524,146,1813,1343,40.86,2.37,29.35,21.74
MD,15-24,2019,2661,184,2433,2015,43.08,2.98,39.39,32.62
MD,15-24,2020,1514,195,1950,1956,24.52,3.15,31.58,31.68
MD,15-24,2021,6789,641,6336,8708,109.94,10.38,102.6,141.01
MD,15-24,2022,10377,1309,10919,15227,168.35,21.23,177.14,247.03
ME,15-24,2016,905,162,1497,953,66.38,11.88,109.82,69.91
ME,15-24,2017,512,157,1320,921,37.56,11.52,96.84,67.56
ME,15-24,2018,511,161,1242,1056,37.48,11.81,91.12,77.47
ME,15-24,2019,716,128,1236,1312,52.52,9.39,90.67,96.25
ME,15-24,2020,599,111,1399,1544,43.9,8.13,102.53,113.16
ME,15-24,2021,775,147,2100,2331,56.21,10.66,152.31,169.07
ME,15-24,2022,590,163,2220,2372,42.47,11.73,159.78,170.73
MI,15-24,2016,26528,5840,36817,40350,263.23,57.95,365.33,400.39
MI,15-24,2017,23903,5429,32588,35872,237.19,53.87,323.37,355.95
MI,15-24,2018,20201,5266,27867,34979,200.45,52.25,276.52,347.09
MI,15-24,2019,9094,5181,25307,33393,90.24,51.41,251.12,331.35
MI,15-24,2020,10104,3489,20675,30262,100.33,34.64,205.31,300.5
MI,15-24,2021,10183,3468,19932,30831,101.45,34.55,198.56,307.14
MI,15-24,2022,9120,5335,27250,31474,90.9,53.18,271.6,313.7
MN,15-24,2018,1187,289,1455,955,20.8,5.07,25.5,16.74
MN,15-24,2019,3026,918,4745,4099,53.02,16.09,83.15,71.83
MN,15-24,2020,5822,1407,8185,6829,101.95,24.64,143.33,119.59
MN,15-24,2021,8982,2112,11234,10870,157.08,36.93,196.47,190.11
MN,15-24,2022,8403,2030,11398,10321,147.05,35.53,199.46,180.62
MO,15-24,2016,2651,437,4193,4230,43.07,7.1,68.13,68.73
MO,15-24,2017,2760,441,4227,4384,44.84,7.17,68.68,71.22
MO,15-24,2018,4862,547,4679,4972,78.99,8.89,76.02,80.78
MO,15-24,2019,6470,921,6744,5322,105.12,14.97,109.57,86.47
MO,15-24,2020,9029,1780,12798,10667,146.7,28.92,207.95,173.32
MO,15-24,2021,12482,2229,17735,15887,202.29,36.12,287.42,257.47
MO,15-24,2022,11272,2221,16956,15901,182.47,35.96,274.5,257.41
MS,15-24,2018,1625,379,1994,1785,54.87,12.8,67.33,60.28
MS,15-24,2019,2560,459,2539,2340,86.45,15.5,85.74,79.02
MS,15-24,2020,3886,527,3832,3596,131.36,17.81,129.53,121.55
MS,15-24,2021,5223,746,4798,4980,177.07,25.29,162.67,168.84
MS,15-24,2022,5464,794,4352,4732,185.92,27.01,148.08,161.01
MT,15-24,2016,2475,502,4740,2712,228.27,46.3,437.17,250.12
MT,15-24,2017,2452,463,5292,2760,226.15,42.7,488.08,254.55
MT,15-24,2018,2306,875,9300,2776,212.68,80.7,857.74,256.03
MT,15-24,2019,1970,852,7672,2733,181.7,78.58,707.59,252.07
MT,15-24,2020,1481,933,8304,2875,136.22,85.81,763.79,264.43
MT,15-24,2021,1050,718,8393,3592,94.9,64.89,758.61,324.67
MT,15-24,2022,907,572,7227,3217,80.78,50.94,643.61,286.5
NC,15-24,2019,22116,4514,26870,22207,211.85,43.24,257.39,212.72
NC,15-24,2020,22398,3860,26951,23562,214.26,36.92,257.81,225.4
NC,15-24,2021,23943,3835,23650,26328,226.58,36.29,223.81,249.15
NC,15-24,2022,24279,4092,23534,26900,226.99,38.26,220.02,251.49
ND,15-24,2016,3561,466,3253,2124,457.08,59.81,417.55,272.63
ND,15-24,2017,3661,449,3204,2118,469.92,57.64,411.26,271.86
ND,15-24,2018,3614,492,2738,2174,463.88,63.15,351.44,279.05
ND,15-24,2019,3110,385,2451,2150,399.19,49.42,314.61,275.97
ND,15-24,2020,2961,415,2240,2238,379.82,53.24,287.34,287.08
ND,15-24,2021,2903,390,2305,2444,373.14,50.13,296.28,314.14
ND,15-24,2022,2966,420,2161,2355,380.79,53.92,277.43,302.35
NE,15-24,2016,3056,339,3273,2250,155.77,17.27,166.83,114.68
NE,15-24,2017,3560,394,3466,2451,181.45,20.08,176.66,124.93
NE,15-24,2018,3472,424,3075,2521,176.97,21.61,156.74,128.49
NE,15-24,2019,2996,329,2698,2333,152.71,16.77,137.52,118.91
NE,15-24,2020,2529,300,2124,2042,128.82,15.28,108.19,104.01
NE,15-24,2021,4317,449,3375,3911,219.78,22.85,171.82,199.11
NE,15-24,2022,4022,504,3660,3991,204.36,25.61,185.97,202.79
NH,15-24,2016,4986,701,4481,3769,361.95,50.89,325.29,273.61
NH,15-24,2017,4119,639,3718,3594,299.02,46.38,269.91,260.9
NH,15-24,2018,3271,565,3308,3539,237.46,41.01,240.14,256.91
NH,15-24,2019,2629,484,2746,3320,190.85,35.14,199.35,241.01
NH,15-24,2020,2059,345,2402,2848,149.35,25.02,174.23,206.57
NH,15-24,2021,1885,307,2229,2954,135.85,22.12,160.65,212.9
NH,15-24,2022,1631,285,2125,3098,116.58,20.37,151.89,221.44
NJ,15-24,2021,1189,440,2625,3759,12.83,4.74,28.32,40.56
NJ,15-24,2022,2302,904,6279,8128,24.86,9.76,67.8,87.77
NM,15-24,2018,958,394,3169,3495,45.24,18.61,149.66,165.05
NM,15-24,2019,936,359,2764,3495,44.2,16.95,130.53,165.05
NM,15-24,2020,1270,345,3385,4486,59.95,16.29,159.79,211.75
NM,15-24,2021,1903,524,4731,6465,89.89,24.75,223.49,305.4
NM,15-24,2022,1887,480,4948,6700,89.28,22.71,234.11,317.01
NV,15-24,2019,99,30,152,199,3.19,0.97,4.89,6.41
NV,15-24,2020,2077,379,3213,4692,66.66,12.16,103.12,150.59
NV,15-24,2021,4795,796,7479,12393,152.38,25.3,237.68,393.85
NV,15-24,2022,4597,823,7301,12084,144.68,25.9,229.78,380.31
NY,15-24,2020,775,164,2804,2424,3.85,0.81,13.94,12.06
NY,15-24,2021,1789,438,7717,9171,9.01,2.2,38.87,46.19
NY,15-24,2022,1760,579,8722,10287,8.95,2.95,44.34,52.29
OH,15-24,2016,21731,2935,36811,34408,184.17,24.87,311.98,291.61
OH,15-24,2017,22993,2951,36996,36179,194.87,25.01,313.54,306.62
OH,15-24,2018,22478,2846,32470,34395,190.5,24.12,275.19,291.5
OH,15-24,2019,17808,2472,29508,33207,150.93,20.95,250.08,281.43
