state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,offender_age,count:__crimes_against_society,count:__fraud_and_other_financial_crimes,count:__property_crime,count:__violent_crime,rate:__crimes_against_society,rate:__fraud_and_other_financial_crimes,rate:__property_crime,rate:__violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty
CT,2019,3453300,0.657,0.1,0.169,0.046,0.002,,0.026,87290,8.3,3.6,1.8,66.3,90.7,39.8,256126.0858,9.4,14.2,15-24,3420.0,504.0,4422.0,5601.0,94.84,13.98,122.64,155.33,36000.0,909.0,101000.0
CT,2018,3466300,0.663,0.099,0.166,0.047,<.01,,0.024,72810,10.2,3.9,2.2,66.1,90.9,39.6,252882.7736,8.2,15.3,15-24,3637.0,505.0,4599.0,5554.0,100.86,14.0,127.54,154.03,39000.0,931.0,102000.0
CT,2017,3478700,0.667,0.097,0.163,0.045,<.01,,0.027,72780,10.9,4.4,2.1,66.3,90.4,38.7,247159.3384,10.5,18.7,15-24,3937.0,521.0,5135.0,5433.0,109.19,14.45,142.4,150.67,43000.0,1025.0,93000.0
CT,2016,3465100,0.676,0.098,0.158,0.045,<.01,,0.022,75920,9.8,4.9,2.6,65.9,90.5,38.6,241427.0393,6.9,13.9,15-24,4295.0,597.0,5507.0,5703.0,119.11,16.55,152.72,158.16,38000.0,1059.0,96000.0
DE,2022,990700,0.59,0.211,0.103,0.041,0.001,,0.054,80750,9.3,4.2,2.3,60.7,92.0,36.5,359641.9998,8.8,18.5,15-24,2464.0,582.0,3021.0,3503.0,241.69,57.09,296.34,343.61,9000.0,,26000.0
DE,2021,974100,0.595,0.203,0.102,0.041,,,0.057,68690,11.7,5.5,3.2,61.3,91.4,35.6,322658.1464,20.7,13.3,15-24,2347.0,538.0,3030.0,3467.0,233.56,53.54,301.53,345.01,8000.0,,35000.0
DE,2020,0,0.0,0,0.0,0.0,0,0,0.0,70020,10.5,7.5,2.1,61.4,91.0,34.7,281167.5744,10.2,18.6,15-24,2800.0,537.0,3570.0,3474.0,282.3,54.14,359.93,350.25,,,
DE,2019,940300,0.614,0.218,0.097,0.039,0.003,,0.028,74190,6.5,3.6,1.4,62.1,90.3,33.2,271369.2211,,19.6,15-24,4500.0,759.0,3980.0,4093.0,454.57,76.67,402.04,413.46,11000.0,133.0,32000.0
DE,2018,937700,0.621,0.213,0.095,0.042,<.01,,0.025,65010,7.4,3.7,1.5,62.1,89.8,31.3,263962.1268,17.7,13.5,15-24,4262.0,865.0,4144.0,4084.0,430.52,87.38,418.61,412.55,12000.0,155.0,37000.0
DE,2017,931700,0.626,0.212,0.092,0.04,,,0.027,62320,9.2,4.5,2.0,62.2,90.6,31.5,257027.958,11.6,25.0,15-24,4421.0,1131.0,4525.0,4479.0,446.59,114.25,457.1,452.45,13000.0,153.0,37000.0
