state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi
ME,2021,1336900,0.9,0.014,0.018,0.011,0.003,N/A,0.053,71140,9.1,4.7,2.3,60.4,94.5,36,311270.9749
ME,2020,0,0,0,0,0,0,0,0,63690,8,5.1,1.3,59.6,93.6,33.5,257755.1702
ME,2019,1302300,0.932,0.014,0.017,0.011,0.007,N/A,0.019,66550,10.4,2.9,1.1,62.4,93.2,33.2,236456.3762
ME,2018,1299500,0.934,0.013,0.015,0.013,<.01,N/A,0.021,58660,11.6,3.2,0.9,63,93,31.5,225420.5024
ME,2017,1300200,0.937,0.011,0.016,0.011,0.01,N/A,0.019,51660,12,3.4,1.2,63.6,92.3,32.1,211392.2435
ME,2016,1293800,0.936,0.015,0.015,0.012,0.01,N/A,0.016,50860,12.7,3.8,1.6,63.4,92.3,30.1,198263.7839
MD,2022,6011200,0.472,0.292,0.115,0.066,0.001,N/A,0.054,108200,8.6,3,1.7,64.8,91.4,43.8,396489.4444
MD,2021,5992100,0.481,0.286,0.111,0.068,0.001,0,0.052,97330,7.7,5.2,3.2,64.8,91.1,42.5,368780.6287
MD,2020,0,0,0,0,0,0,0,0,94790,9.4,6.5,1.7,66.5,91.1,43.1,329988.1588
MD,2019,5875500,0.499,0.296,0.106,0.064,0.002,N/A,0.032,95570,7,3.4,1.5,68.9,90.4,40.9,315086.4882
MD,2018,5870800,0.503,0.293,0.105,0.064,<.01,N/A,0.034,86220,8,3.8,1.9,67.8,90.5,40.8,304548.6894
MD,2017,5892900,0.507,0.292,0.102,0.065,<.01,<.01,0.031,81080,7.8,4,1.9,67.6,89.9,39.7,294184.6855
MD,2016,5856500,0.514,0.293,0.098,0.063,<.01,N/A,0.03,73760,7.1,4.3,2.1,66.9,90.1,39.3,283953.017
MA,2022,6757900,0.673,0.065,0.131,0.07,0.001,N/A,0.06,93550,9.6,3.7,1.9,65.2,91.3,46.6,556942.6519
MA,2021,6744100,0.677,0.061,0.129,0.069,0.001,N/A,0.063,86570,7.6,5.4,4,65.1,91.1,46.6,504870.5217
MA,2020,0,0,0,0,0,0,0,0,87810,8.4,9.4,2.1,65.3,91.3,46.9,443372.5791
MA,2019,6650800,0.705,0.07,0.124,0.067,0.002,<.01,0.032,87710,7.5,3,1.2,67.2,91.3,45,421752.5499
MA,2018,6659900,0.708,0.07,0.124,0.067,<.01,N/A,0.029,86350,8.7,3.5,1.6,67.1,90.8,44.5,410211.5293
MA,2017,6620600,0.717,0.069,0.119,0.064,<.01,N/A,0.029,73230,10.6,3.8,1.7,65.9,90.8,43.4,386046.5835
MA,2016,6570600,0.726,0.067,0.114,0.063,<.01,N/A,0.028,72270,9.6,4,2,65.3,90.4,42.7,361931.3072
MI,2022,9824500,0.729,0.129,0.057,0.033,0.003,0,0.05,68990,12.1,4.1,1.8,60.4,91.8,32.1,228016.4357
MI,2021,9841800,0.731,0.131,0.056,0.032,0.003,0,0.048,64490,11.7,5.8,3.4,59.4,92,31.7,206833.9654
MI,2020,0,0,0,0,0,0,0,0,64390,11.2,10.1,1.9,60.4,92,32.1,180294.8683
MI,2019,9765600,0.749,0.134,0.053,0.032,0.005,N/A,0.027,64120,10.2,4.1,1.3,61.9,91.4,30,169404.0894
MI,2018,9770000,0.75,0.135,0.052,0.032,<.01,N/A,0.026,60450,10.5,4.2,1.4,61.6,91.1,29.6,159393.1485
MI,2017,9720300,0.753,0.135,0.05,0.031,<.01,N/A,0.026,57700,12.7,4.6,1.6,61.4,90.9,29.1,147892.2069
MI,2016,9693500,0.756,0.135,0.049,0.029,<.01,N/A,0.027,57090,11.1,5,2,61.3,90.4,28.3,137536.6185
MN,2022,5600400,0.763,0.065,0.058,0.052,0.007,N/A,0.055,90390,7.6,2.5,1,68.2,94,39.1,325231.7254
